6,,Agona,AGONA ASHANTI,airtel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,,Dawadawa,WENCHI,airtel,0,0,0,0,0,0,0,0,0,0,0,0,944.2,0.000029,29,0.33,952.7,0.00003,30,0.27,944.2,0.000032,32,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,,Atebubu,ATEBUBU,airtel,0,0,0,0,0,0,0,0,1854,0.000049,49,0.05,953.2,0.000035,35,0.15,1854,0.000046,46,0.06,952.7,0.000039,39,0.09,1854,0.000037,37,0.31,952.7,0.000041,41,0.08,1853,0.000047,47,0.07,9472,0.000033,33,0.2
4,,Apesika,ATEBUBU-AMANTIN,expresso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,,Atebubu,ATEBUBU-AMANTIN,expresso,0,0,0,0,0,0,0,0,1854,0.000049,49,0.05,953.2,0.000035,35,0.15,1854,0.000046,46,0.06,952.7,0.000039,39,0.09,1854,0.000037,37,0.31,952.7,0.000041,41,0.08,1853,0.000047,47,0.07,9472,0.000033,33,0.2
4,,Amantin,ATEBUBU-AMANTIN,expresso,0,0,0,0,0,0,0,0,0,0,0,0,943.7,0.000035,35,0.21,952.2,0.000034,34,0.21,959.2,0.000033,33,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,,Atakura,KINTAMPO NORTH,expresso,0,0,0,0,0,0,0,0,0,0,0,0,945.7,0.000057,57,0.01,952.2,0.000059,59,0.01,952.2,0.000057,57,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,,Akrofrum rep,TECHIMAN,expresso,0,0.00000003,0,0,2163,0.000051,51,0.03,1851,0.000053,53,0.02,946.2,0.000039,39,0.12,1851,0.000055,55,0.02,2138,0.000047,47,0.06,954.2,0.000037,37,0.13,1851,0.000057,57,0.01,2121,0,51,0.04,954.7,0,34,0.17
5,,Ahamansu,kadjebi,expresso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,,Daboase(old160),SHAMA,expresso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,,Agona,AHANTA WEST,expresso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,,AGONA_GT,AFIGYA SEKYERE,vodafone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,,APEMHASE_ABUAKWA,KUMASI METRO,vodafone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,,DEDUAKO,KUMASI METRO,vodafone,0,0,0,0,943.7,0,0,0,951.2,0,0,0,1835,0.000257,0,0,1856,0,0,0,1872,0,0,0,2122,0.000189,0,0,2129,0,0,0,2164,0,0,0,0,0,0,0
