2672,BUGRI,BUGRI,MTN,957.20,0.000022,22,0.71,1860,0.000069,69,0.17,,,,,953.7,0.000023,23,0.62,1860,0.000064,64,0.13,,,,,953.7,0.000021,21,0.82,1860,0.000067,67,0.08,,,,,,,
UEB-5532,CHIANA,CHIANA,VODAFONE,952.70,0.00001548,15.48,0.01,1807,0.00011234,112.34,0.01,,,,0.01,940.2,0.0000015,1.5,0.01,1884,0.00002718,27.18,0.01,,,,,945.2,0.00006334,63.34,0.01,1809,0.00024247,242.47,0.01,,,,,,,
GH 0350,Chiana,CHIANA,AIRTEL,933.70,0.00001734,17.34,0.01,1809,0.0001134,113.4,0.01,,,,,940.2,0.00000317,3.17,0.01,1871,0.00010312,103.12,0.01,,,,,956.7,0.00022309,223.09,0.01,1884,0.00021267,212.67,0.01,,,,,,,
1562,CHIANA,CHIANA,MTN/TIGO,952.70,0.00004734,47.34,0.01,1806,0.00001708,17.08,0.01,,,,,957.3,0.0001387,138.7,0.01,1807,0.00010325,103.25,0.01,,,,,952.7,0.00000307,3.07,0.04,1890,0.00005407,54.07,0.01,,,,,,,
UEB 1617,CHUCHULIGA,CHUCHULIGA,MTN,958.2,0.00003254,32.54,0.01,1884,0.00009613,96.13,0.01,,,,,939.7,0.00001286,12.86,0.01,1807,0.00011362,113.62,0.01,,,,,953.7,0.00007281,72.81,0.01,1804,0.00011627,116.27,0.01,,,,,,,
1598,Fumbisi,FUMBISI,TIGO/VODAFONE,944.20,0.0000137,13.7,0,1807,0.00010408,104.08,0.01,,,,,940.2,0.0001172,117.2,0.01,1847,0.00002708,27.08,0.01,,,,0.01,146.2,0.00000554,5.54,0,1838,0.00005478,54.78,0.01,0,,0,0,,,
1598,FUMBISI,FUMBISI,TIGO,944.2,0.0000137,13.7,0.00,1807,0.00010408,104.08,0.01,,,,,940.2,0.0001172,117.2,0.01,1847,0.00002708,27.08,0.01,,,,0.01,146.2,0.00000554,5.54,0.00,1838,0.00005478,54.78,0.01,,,,,,,
2953,2953FUMBESI,FUMBISI,MTN,954.7,0.00011256,112.56,0.01,1807,0.00011256,112.56,0.01,,,,0.00,953.7,0.0001468,146.8,0.01,1840,0.00002667,26.67,0.01,,,,,158.7,0.00003837,38.37,0.01,1807,0.00002347,23.47,0.01,,,,,,,
UR 3657,3657GADURI,GADURU BAWKU,MTN,959.2,0.000029,29,0.96,1830,0.000057,57,0.20,,,,,952.2,0.00003,30,0.28,1864,0.00006,60,0.25,,,,,959.3,0.000028,28,0.90,1860,0.000053,53,0.10,,,,,,,
1619,GARU,GARU,MTN,959.20,0.000051,51,0.23,1860,0.000064,64,0.06,,,,,959.1,0.000047,47,0.26,1860,0.000064,64,0.11,,,,,955.2,0.000026,26,0.59,1860,0.000058,58,0.29,,,,,,,
