,Agogo,ASANTE AKIM NORTH,Tigo,936.2,0.00001477,,,945.2,,,,943.2,,,,1823,0.00000623,,,,,,,,,,,2121,0.00013917,,,2124,,,,,,,
ASB1103,AGOGO_GSM,ASANTE AKIM NORTH,VODAFONE,951.7,0.000046,,0.13,1860,0.00007,,0.07,2164,0.000059,,0.33,956.7,0.000036,,0.98,1860,0.000067,,0.06,2160,0.000058,,0.36,958.2,0.000032,,0.22,1860,0.00005,,0.03,2160,0.00006,,0.25
,Amoyu,ASANTE AKIM NORTH,AIRTEL,921.2,0.0003077,,,925.7,,,,945.2,,,,1818,0.00086888,,,,,,,,,,,2122,0.00036029,,,,,,,,,,
,Konongo,ASANTE AKIM NORTH,Tigo,936.2,0.00001477,,,945.2,,,,,,,,1823,,,,,,,,,,,,,0,,,,,,,,,,
,Konongo Odumasi,ASANTE AKIM NORTH,Tigo,928.2,0.00022189,,,935.2,,,,952.2,,,,1823,0.00012423,,,1828,,,,1837,,,,2127,0.0001719,,,,,,,2190,,,
1238,KONONGO_GT,ASANTE AKIM NORTH,TIGO/VODAFONE,953.2,0.000039,,0.16,1860,0.000068,,0.04,,,,,953.2,0.000041,,0.15,1880,0.000068,,0.07,,0,,,943.7,0.00004,,0.11,1842,0.00005,,0.03,,0,,
,KONONGO_GT,ASANTE AKIM NORTH,VODAFONE/AIRTEL,919.7,0.000228,,,927.7,,,,935.2,,,,1819,0.00022,,,1823,,,,1830,,,,2120,0.000547,,,2123,,,,2925,,,
CSO478,0636JUASO,ASANTE AKIM SOUTH,MTN,945.2,0.00097,,,955.2,,,,,,,,1824,0.000271,,,1842,,,,1860,,,,,,,,,,,,,,,
CS0765,0952ATWEDIE,ASANTE AKIM SOUTH,MTN,947.2,0.00078,,,952.7,,,,959.2,,,,1844,0.000595,,,,,,,,,,,,,,,,,,,,,,
CS07771,0965BOGU,ASANTE AKIM SOUTH,MTN/AIRTEL,925.2,0.000816,,,956.7,,,,,,,,1811,0.000236,,,1880,,,,,,,,,,,,,,,,,,,
CS1298/1916,1916BOMPATA,ASANTE AKIM SOUTH,MTN,927.2,0.00083,,,952.7,,,,959.2,,,,1880,0.0000227,,,,,,,,,,,,,,,,,,,,,,
2657/CS1428,2657YAWKWEI,ASANTE AKIM SOUTH,MTN,933.2,0.000999,,,953.2,,,,959.2,,,,1853,0.000139,,,,,,,,,,,,,,,,,,,,,,
CS1731,2980ADOMFE,ASANTE AKIM SOUTH,MTN,927.2,0.000943,,,952.2,,,,958.7,,,,188O,0.000264,,,,,,,,,,,,,,,,,,,,,,
CS1912,3800YAWBRONYA,ASANTE AKIM SOUTH,MTN,945.2,0.000272,,,953.2,,,,959.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS2609,Asankare,ASANTE AKIM SOUTH,TIGO/VODAFONE,935.2,0.000161,,,948.7,,,,959.2,,,,1844,0.001414,,,1816,,,,1872,,,,,,,,,,,,,,,
CS2611,ASANKARE,ASANTE AKIM SOUTH,VODAFONE/TIGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS3128,Dadieso,ASANTE AKIM SOUTH,TIGO,936.7,0.0000432,,,947.3,,,,951.2,,,,1823,0.0000873,,,1827,,,,,,,,,,,,,,,,,,,
CS3906,JUASO,ASANTE AKIM SOUTH,VODAFONE,931.2,0.000563,,,936.2,,,,958.2,,,,1823,0.0000622,,,1841,,,,1854,,,,,,,,,,,,,,,
CS39O5,Juaso,ASANTE AKIM SOUTH,TIGo,930.2,0.0000638,,,942.2,,,,958.7,,,,1841,0.0000464,,,1841,,,,1865,,,,,,,,,,,,,,,
51,Effiduase,Ashanti,Airtel,930.2,0.00004395,,,945.7,,,,949.2,,,,1854,0.00007085,,,1877,,,,1880,,,,2123,0.0001249,,,2139,,,,2159,,,
0918,0918NYINAHENE,ATWIMA,MTN,953.2,0.00000017,,0.17,1860,,,0.09,,0.000027,,,953.2,0.0000001,,0.4,1860,0.0009592,,0.10,,0.000062,,,959.2,,,0.24,1860,,,0.13,,,,
923,0923ATWIMA,ATWIMA,MTN,957.2,0.00000123,,1.23,1854,0.002162,,0.27,2162,0.000029,,0.15,957.2,0.00000015,,1.05,1854,0.0009572,,0.15,2163,0.000053,,0.28,957.2,0.00000106,,0.20,1854,,,0.29,2162,,,1.06
984,0984BAREKESE,ATWIMA,MTN,954.2,0.000041,,41,0.19,,,,,0.001851,,23,0.78,0.000029,,48,0.07,0.00000017,,29,1.92,0,,43,0.17,,,,,,,,,,,
1321,1321ATWIMA_TADI,ATWIMA,MTN,957.2,0.00000074,,0.74,,,,,,0.000023,,,954.7,0,,0.89,,0.0009592,,,,0,,,959.2,,,0.89,,,,,,,,
AR 1675,1675SAMPRONO,ATWIMA,MTN,958.7,0.00000083,,0.83,1860,,,0.08,,0.000028,,,957.2,0.00000008,,0.63,1860,0.0009572,,0.08,,0.000063,,,957.2,,,0.74,1860,,,0.15,,,,
1919,1919ATWIMA_KDUA,ATWIMA,MTN,955.2,0.00000071,,0.71,1851,,,0.20,,0.000023,,,955.2,0.00000019,,1.87,1853,0.0009562,,0.19,,0.000059,,,956.2,,,0.43,1853,,,0.24,,,,
1934,1934MPASATIA,ATWIMA,MTN,957.2,0.00000049,,0.49,1844,,,0.01,,0.000039,,,954.7,0.00000001,,0.34,1844,0.0009552,,0.01,,0.000067,,,955.2,,,0.20,1838,,,0.01,,,,
1937,1937NYINAWASO,ATWIMA,MTN,955.2,0.00000041,,0.41,1835,,,0.01,,0.000049,,,956.20,0,,0.29,1832,0.0009552,,0,,0.00006,,,955.2,,,0.38,1835,,,0.01,,,,
1945,1945NNEREBEHI,ATWIMA,MTN,959.2,0.00000115,,1.15,1833,,,0,,0.000021,,,955.2,0,,0.94,1833,0.0009552,,0,,0.00007,,,955.2,,,1.02,1836,,,0,,,,
1952,1952SEPAASE,ATWIMA,MTN,959.7,0.00000053,,0.53,1853,,,0,,0.000039,,,957.2,0,,0.80,1854,0.0009553,,0,,0,,,955.3,,,0.40,,,,,1853,,,0
2982,2982FUFUO,ATWIMA,MTN,953.2,0.00000065,,0.65,,,,,,0.000028,,,953.7,0,,0.77,,0.0009542,,,,0,,,954.2,,,0.38,,,,,,,,
AR 2987,2987AKROPONG,ATWIMA,MTN,959.2,0.00000129,,1.29,1851,,,0.01,,0.000023,,,954.2,0.00000001,,0.75,1851,0.0009542,,0.01,,0.000062,,,954.2,,,0.30,1851,,,0.01,,,,
