GH-0313,KUNCHOGU,KUNCHOGU,AIRTEL,951.2,0.000069,69,0.34,,,,,,,,,931.2,0.00003,30,0.31,,,,,,,,,954.7,0.000068,68,0.43,,,,,,,,
UE 1620,KUNCHOGU,KUNCHOGU,MTN,931.2,0.00004,40,0.09,1805,0.000042,42,0.1,,,,,931.2,0.000041,41,0.08,1803,0.000062,62,0.01,,,,,936.2,0.000069,69,0.07,1803,0.000056,56,0.01,,,,
0695,0695LAWRA,LAWRA,MTN/AIRTEL,958.2,0.00009936,99.36,0.01,1808,0.00066834,668.34,0.02,,,,,952.2,0.00011656,116.56,0.01,1808,0.00000132,1.32,0.03,,,,,954.7,0.00011454,114.54,0.01,1838,0.00049417,494.17,0.02,,,,
1529,Lawra1800,LAWRA,TIGO,957.7,0.00011353,113.53,0.01,1842,0.00009199,91.99,0.03,,,,,940.2,0.00011655,116.55,0.01,1809,0.0000013,1.3,0.03,,,,,954.7,0.00008254,82.54,0.01,1841,0.00018632,186.32,0.01,,,,
UWR-6006,LAWRA,LAWRA,VODAFONE,959.2,0.0000985,98.5,0.01,1838,0.00089616,896.16,0.03,,,,,956.2,0.00005779,57.79,0,1832,0.00039621,396.21,0.02,,,,,940.2,0.00014207,142.07,0.01,1832,0.00000125,1.25,0.01,,,,
1658,1658LESUAYRI_GA,LESUAYRI-GA,MTN,959.2,0.000053,53,0.28,,,,,,,,,958.2,0.000049,49,0.42,,,,,,,,,959.2,0.000059,59,0.24,,,,,,,,
2968,2968MANGO,MANGO,MTN/VODAFONE,957.7,0.00002,20,0.98,1856,0.000055,55,0.28,2163,0.000043,43,0.18,958.2,0.000039,39,1.26,1841,0.000049,49,0.22,2163,0.000049,49,0.32,958.2,0.000049,49,1.16,1851,0.00006,60,0.28,2170,0.000061,61,0.35
UWR-6008,NADOWLI,NADOWLI,VODAFONE,949.2,0.00009647,96.47,0.01,1960,0.00011346,113.46,0.01,0,0,0,0,950.7,0.00002408,24.08,0.02,1840,0.0000204,20.4,0.01,0,0,0,0,949.2,0.00027446,274.46,0.02,1804,0.00006842,68.42,0.01,,,,
GH-0342,NADOWLI,NADOWLI,AIRTEL,954.2,0.00012885,128.85,0.01,1960,0.00012247,122.47,0.01,,,,,954.7,0.00010974,109.74,0.01,1809,0.00066448,664.48,0.02,,,,,984.1,0.00015784,157.84,0.01,1809,0.00066273,662.73,0.03,,,,
1527,Nadawli,NADOWLI,TIGO,954.2,0.00004598,45.98,0.01,1087,0.00064248,642.48,0.01,0,0,0,0,940.2,0.00003587,35.87,0.01,180.9,0.00064687,646.87,0.02,0,0,0,0,958.7,0.00001578,15.78,0.01,1806,0.0009527,952.7,0.01,0,0,0,0
,NADOWLI,NADOWLI,MTN,940.2,0.00009967,99.67,0.01,1960,0.00062446,624.46,0.03,0,0,0,0,954.2,0.00022107,221.07,0.02,1809,0.00066424,664.24,0.02,0,0,0,0,953.2,0.00011276,112.76,0.03,1804,0.00066277,662.77,0.01,0,0,0,0
UW-1666,1666NANDOM,NANDOM,MTN,940.2,0.0000853,85.3,0.01,1809,0.00000161,1.61,0.04,,,,,955.2,0.00011102,111.02,0.01,1809,0.00073551,735.51,0.02,,,,,958.7,0.00005924,59.24,0.01,1802,0.00087562,875.62,0.03,,,,
UWB-6007,NANDOM_GT,NANDOM,VODAFONE/AIRTEL,946.2,0.00007597,75.97,0.01,1836,0.00093251,932.51,0.03,,,,,940.2,0.00009825,98.25,0.01,1803,0.00081524,815.24,0.03,2123,0.00006263,62.63,0,940.2,0.00009059,90.59,0.01,1839,0.00000128,1.28,0.03,2122,0.00003063,30.63,0
1530,NANDOM,NANDOM,TIGO,959.2,0.00013512,135.12,0.01,1809,0.00058948,589.48,0.02,2123,0.0000327,32.7,0,952.2,0.0001452,145.2,0.01,1809,0.00046681,466.81,0.02,2122,0.00002411,24.11,0,959.2,0.00016091,160.91,0.01,1809,0.00067815,678.15,0.02,2122,0.00007037,70.37,0
1663,1663NARO,NARO,MTN,95.42,0.00006348,63.48,0.01,1880,0.00092624,926.24,0.03,0,0,0,0,95.32,0.00011757,117.57,0.01,1809,0.00005478,54.78,0,0,0,0,0,954.7,0.00012525,125.25,0.01,1880,0.00000028,0.28,0.02,0,0,0,0
1663,1663NARO,NARO,MTN,954.7,0.00002,20,0.95,,,,,,,,,953.2,0.000025,25,0.55,,,,,,,,,958.7,0.000019,19,0.98,,,,,,,,
2974,2974PIEN,PIEN,MTN,955.7,0.000018,18,1.13,,,,,,,,,955.2,0.00002,20,0.94,,,,,,,,,956.2,0.000018,18,1.12,,,,,,,,
,PINAH,PINAH,EXPRESSO,949.7,0.000054,54,0.01,,,,,,,,,949.7,0.000051,51,0.02,,,,,,,,,950.2,0.000053,53,0.01,1808,0.000065,65,0,,,,
UW 6005,PINA_GT,PINAH,VODAFONE,948.2,0.00005,50,0.3,,,,,,,,,948.2,0.00005,50,0.19,,,,,,,,,946.7,0.000043,43,0.07,,,,,,,,
