region,Site name,Is the  site  well cleaned and maintained?,,
1924,KNUST,1,9,KNUST/cs4703_ct0003_se0056_1350729071891.jpg
1925,KNUST 2,1,9,KNUST 2/cs4858_ct0003_se0056_1350119440426.jpg
1926,KNUST AYGYA,1,9,KNUST AYGYA/cs4980_ct0001_se0012_1350285686149.jpg
1931,KOKOBEN,1,9,KOKOBEN/cs5059_ct0003_se0056_1350116492206.jpg
994,KOJOKROM TIGO,1,9,KOJOKROM TIGO/cs5178_ct0011_se0010_1351267246379.jpg
995,KOJOKROM VODAFONE,1,9,KOJOKROM VODAFONE/cs5183_ct0011_se0018_1351157403979.jpg
1069,KWESIMINTIM TIGO,1,9,KWESIMINTIM TIGO/cs5186_ct0011_se0010_1351173667294.jpg
1068,KWESIMINTIM,1,9,KWESIMINTIM/cs5187_ct0011_se0018_1351153213602.jpg
1100,MANSO AMENFI TIGO,1,9,MANSO AMENFI TIGO/cs5189_ct0011_se0010_1351169917188.jpg
1101,MANSO_AMENFI VODAFONE,1,9,MANSO_AMENFI VODAFONE/cs5190_ct0011_se0010_1351271691054.jpg
1154,NEW SITE,1,9,NEW SITE/cs5226_null_null_1352042615879.jpg
1217,NTWAABAN,1,9,NTWAABAN/cs5231_ct0011_se0018_1351261125856.jpg
1217,NTWAABAN,1,9,NTWAABAN/cs5232_ct0011_se0038_1351259779303.jpg
1270,OPPONG VALLEY,1,9,OPPONG VALLEY/cs5256_null_null_1352122572565.jpg
1284,PALMLAND,1,9,PALMLAND/cs5453_null_null_1351521527419.jpg
1319,SAMREBOE,1,9,SAMREBOE/cs5496_null_null_1352126303775.jpg
1334,SEFWI ASAWINSO TIGO,1,9,SEFWI ASAWINSO TIGO/cs5530_null_null_1351152982036.jpg
971,Koforidua 4,1,9,Koforidua 4/DSC02104.jpg
1093,MANKESSIM MTN,1,9,MANKESSIM MTN/DSC02801.jpg
1092,MANKESSIM AIRTEL,1,9,MANKESSIM AIRTEL/DSC02895.jpg
1618,YAMORANSA MTN,1,9,YAMORANSA MTN/DSC03479.jpg
1109,MOREE 2 MTN,1,9,MOREE 2 MTN/DSC03585.jpg
1123,mumford,1,9,mumford/DSC05235.jpg
5046,Brofoyedru,1,9,Brofoyedru/DSC05529.jpg
1094,Mankessim old 144,1,9,Mankessim old 144/DSC05634.jpg
3631,0246WEST_LEGON,1,9,0246WEST_LEGON/DSCF5171.jpg
1553,VAKPO MTN,1,9,VAKPO MTN/DSCN0157.jpg
996,KOKOA,1,9,KOKOA/DSCN0268.JPG
566,BECHEM,1,9,BECHEM/DSCN0332.JPG
1326,SANTROKOFI,1,9,SANTROKOFI/DSCN0628.jpg
1003,KPANDO VOD,1,9,KPANDO VOD/DSCN1352.jpg
1381,SROE MTN,1,9,SROE MTN/DSCN2014.jpg
2083,Awoshie A-Lang Tigo,1,9,Awoshie A-Lang Tigo/DSCN2681.jpg
4189,0222ABLEKUMA_2,1,9,0222ABLEKUMA_2/DSCN2868.jpg
2411,Pentecost Junction,1,9,Pentecost Junction/DSCN2883.jpg
2456,South Ablekuma,1,9,South Ablekuma/DSCN2906.jpg
2361,ODOMAN AIRTEL,1,9,ODOMAN AIRTEL/DSCN2983.jpg
849,HO CK ROAD,1,9,HO CK ROAD/DSCN3237.jpg
848,HO BANKOE AIRTEL,1,9,HO BANKOE AIRTEL/DSCN3286.jpg
844,HO 6 MTN,1,9,HO 6 MTN/DSCN3324.jpg
585,BEREKUM EXPRESSO,1,9,BEREKUM EXPRESSO/DSCN6271.JPG
2534,West Cantonments(old37),1,9,West Cantonments(old37)/IMG_0873.jpg
921,KATARIGA TIGO,1,9,KATARIGA TIGO/PB120390.jpg
1329,SAVELUGU VODAFONE,1,9,SAVELUGU VODAFONE/PB130648.jpg
54,1648 PONG_TAMALE MTN,1,9,1648 PONG_TAMALE MTN/PB140702.jpg
1295,PIGU MTN,1,9,PIGU MTN/PB140792.jpg
1294,PIGU AIRTEL,1,9,PIGU AIRTEL/PB140814.jpg
57,1653 WULUGU MTN,1,9,1653 WULUGU MTN/PB140925.jpg
683,DCS_GUABULIGA VODAFONE,1,9,DCS_GUABULIGA VODAFONE/PB141034.jpg
81,1999 WUNGU MTN,1,9,1999 WUNGU MTN/PB151065.jpg
85,2604 DULUN MTN,1,9,2604 DULUN MTN/PB151165.jpg
147,2943 BELUNG MTN,1,9,2943 BELUNG MTN/PB151208.jpg
31,0937NYAMKPALA,1,9,0937NYAMKPALA/PB161234.jpg
14,0678TOLON,1,9,0678TOLON/PB161310.jpg
