,,,,,,,,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
7,Kibi,-0.54623,6.16791,900,ABUAKWA,Eastern,airtel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
7,Kibi,-0.55416248,6.17055118,GSM 900,East Akim Municipal,Eastern,tigo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
4,0998KWAME_DANSO,-0.68185000,7.72778000,900MHZ,SENE,Brong Ahafo Region,mtn,0,0,0,0,0,0,0,0,1841,0.000054,54,0.03,959.2,0.000022,22,0.7,958.7,0.000026,26,0.45,958.2,0.000023,23,0.68,1860,0.000046,46,0.06,1841,0.000056,56,0.02,1841,0,50,0.04,0,0,0,0,,,
6,Deduako,-1.546044,6.655738,900,EJISU,Ashanti,airtel,0,0,0,0,943.7,0,0,0,951.2,0,0,0,1835,0.000257,0,0,1856,0,0,0,1872,0,0,0,2122,0.000189,0,0,2129,0,0,0,2164,0,0,0,0,0,0,0,,,
6,Agona,-1.49112834,6.93276254,900,AGONA ASHANTI,Ashanti,airtel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
4,Dawadawa,-1.56771,8.35552,900,WENCHI,Brong Ahafo,airtel,0,0,0,0,0,0,0,0,0,0,0,0,944.2,0.000029,29,0.33,952.7,0.00003,30,0.27,944.2,0.000032,32,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
4,Atebubu,-0.98744,7.74915,900,ATEBUBU,Brong Ahafo,airtel,0,0,0,0,0,0,0,0,1854,0.000049,49,0.05,953.2,0.000035,35,0.15,1854,0.000046,46,0.06,952.7,0.000039,39,0.09,1854,0.000037,37,0.31,952.7,0.000041,41,0.08,1853,0.000047,47,0.07,9472,0.000033,33,0.2,,,
4,Apesika,-1.54481,7.99896,,ATEBUBU-AMANTIN,Brong Ahafo,expresso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
4,Atebubu,-0.9773,7.7447,,ATEBUBU-AMANTIN,Brong Ahafo,expresso,0,0,0,0,0,0,0,0,1854,0.000049,49,0.05,953.2,0.000035,35,0.15,1854,0.000046,46,0.06,952.7,0.000039,39,0.09,1854,0.000037,37,0.31,952.7,0.000041,41,0.08,1853,0.000047,47,0.07,9472,0.000033,33,0.2,,,
4,Amantin,-1.197299,7.549697,,ATEBUBU-AMANTIN,Brong Ahafo,expresso,0,0,0,0,0,0,0,0,0,0,0,0,943.7,0.000035,35,0.21,952.2,0.000034,34,0.21,959.2,0.000033,33,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
4,Atakura,-1.598637,8.280279,,KINTAMPO NORTH,Brong Ahafo,expresso,0,0,0,0,0,0,0,0,0,0,0,0,945.7,0.000057,57,0.01,952.2,0.000059,59,0.01,952.2,0.000057,57,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
4,Akrofrum rep,-1.96647,7.6097,,TECHIMAN,Brong Ahafo,expresso,0,0.00000003,0,0,2163,0.000051,51,0.03,1851,0.000053,53,0.02,946.2,0.000039,39,0.12,1851,0.000055,55,0.02,2138,0.000047,47,0.06,954.2,0.000037,37,0.13,1851,0.000057,57,0.01,2121,0,51,0.04,954.7,0,34,0.17,,,
5,Ahamansu,0.54751,7.72791,,kadjebi,Volta,expresso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
8,Daboase(old160),-1.6457,5.0945,,SHAMA,Western,expresso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
8,Agona,-1.9594,4.8896,,AHANTA WEST,Western,expresso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
6,AGONA_GT,-1.491020,6.932590,900M,AFIGYA SEKYERE,ASHANTI,vodafone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
6,APEMHASE_ABUAKWA,-1.714720,6.696111,900M,KUMASI METRO,ASHANTI,vodafone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
6,DEDUAKO,-1.545700,6.656740,900M,KUMASI METRO,ASHANTI,vodafone,0,0,0,0,943.7,0,0,0,951.2,0,0,0,1835,0.000257,0,0,1856,0,0,0,1872,0,0,0,2122,0.000189,0,0,2129,0,0,0,2164,0,0,0,0,0,0,0,,,
4,ABUO_RS,-1.114719,7.615230,900M,ATEBUBU-AMANTIN,BRONG AHAFO,vodafone,0,0,0,0,0,0,0,0,0,0,0,0,954.2,0.000034,34,0.18,958.7,0.000033,33,0.21,958.2,0.000033,33,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
4,ATEBUBU_GT,-0.981040,7.748280,900M,ATEBUBU-AMANTIN,BRONG AHAFO,vodafone,0,0,0,0,0,0,0,0,0,0,0,0,950.7,0.000025,25,0.52,1860,0.000043,43,0.16,954.7,0.000032,32,0.23,1832,0.000035,35,0.22,951.2,0.000032,32,0.22,1836,0,36,0.26,0,0,0,0,,,
4,BONO_MANSO,-1.846900,7.698850,900M,NKORANZA,BRONG AHAFO,vodafone,0,0,0,0,0,0,0,0,0,0,0,0,951.7,0.00003,30,0.29,1851,0.000054,54,0.02,946.2,0.000027,27,0.39,1857,0.000054,54,0.02,954.7,0.000026,26,0.47,1851,0,53,0.02,0,0,0,0,,,
4,BUI,-2.274970,8.240020,900M,TAIN,BRONG AHAFO,vodafone,0,0,0,0,0,0,0,0,0,0,0,0,949.2,0.000037,37,0.15,946.2,0.000033,33,0.22,944.7,0.000028,28,0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
