2692,2692ADENTIA,BA,MTN,954.20,0.00000012,40,0.09,958.2,0.000018,18.00,0.12,955.2,0.000015,15.00,1.57,1860,0.000067,67.00,0,1860,0.000067,67.00,0,1823,0.000063,63.00,0,,,,,,,,,,,,,,,,,
2698,2698SUBRISO,BA,MTN,954.20,0.00000089,25,0.47,957.2,0.00002,20.00,0.89,958.7,0.000023,23.00,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR 2741,2741NSUTA_BR,BA,MTN,957.70,0.0000007,18,0.56,955.2,0.000022,22.00,0.7,956.2,0.000024,24.00,0.57,1860,0.000044,44.00,0.07,1851,0.000041,41.00,0.1,1860,0.000042,42.00,0.1,,,,,,,,,,,,,,,,,
2905,2905MORLE,BA,MTN/Vodafone,955.70,0.00000092,22,0.73,955.2,0.00002,20.00,0.92,953.2,0.000018,18.00,1.08,1860,0.000067,67.00,0,1860,0.000068,68.00,0,1860,0.000068,68.00,0,,,,,,,,,,,,,,,,,
2909,2909NEW_DROBO3,BA,MTN,959.20,0.00000193,15,1.8,959.2,0.000013,13.00,1.93,,0,,,,0.00006,60.00,0.01,1821,0.000055,55.00,0.02,,,,,,,,,,,,,,,,,,,,,
2911,2911GOASO_4,BA,MTN,956.20,0.00000156,18,1.21,958.2,0.000015,15.00,1.56,958.8,0.000018,18.00,1.17,1860,0.00004,40.00,0.04,1860,0.000047,47.00,0.05,1854,0.000051,51.00,0.51,2122,0.000068,,68.00,0,2122,0.000058,58.00,0.01,2123,,69.00,0,,,,
2918,2918AYENSU,BA,MTN,955.20,0.00000088,21,0.84,932.7,0.00002,20.00,0.88,525.2,0.00002,20.00,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3616,3616BRE_MPATISE,BA,MTN,953.20,0.00000114,16,1.52,953.2,0.000018,18.00,1.14,954.2,0.000016,16.00,1.46,1860,0.000063,63.00,0.01,1860,0.000061,61.00,0.01,1860,0.000057,57.00,0.01,2123,0.000063,,63.00,0,2122,0.000063,63.00,0.01,2123,,61.00,0.01,,,,
3620,3620SYN_ABATOIR,BA,MTN/AIRTEL,958.70,0.00000005,46,0.04,955.2,0.000045,45.00,0.05,959.2,0.000044,44.00,0.05,1860,0.000054,54.00,0.02,1860,0.000055,55.00,0.02,1860,0.00005,50.00,0.04,2163,0.000054,,54.00,0.02,2162,0.000052,52.00,0.03,2162,,51.00,0.04,,,,
3624,3624JAPEKROM_2,BA,MTN,958.20,0.00000103,17,1.35,958.2,0.000019,19.00,1.03,958.2,0.000018,18.00,1.12,1860,0.000032,32.00,0.5,1860,0.000032,32.00,0.32,1860,0.000032,32.00,0.31,,,,,,,,,,,,,,,,,
BAB 2011,3625JEMA_KONTA,BA,MTN/Vodafone,959.20,0.00000073,22,0.88,958.7,0.000022,22.00,0.73,958.2,0.00002,20.00,0.92,,,,,,,,,,,,,2163,0.000033,,33.00,0.3,2163,0.000032,32.00,0.44,2150,,35.00,0.25,,,,
,Amanten,BA,Tigo/Vodafone,946.70,0.00000016,34,0.14,945.2,0.000036,36.00,0.16,946.7,0.000036,36.00,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1894,Asare,BA,Tigo/Vodafone,951.20,0.00000084,21,0.79,944.7,0.000021,21.00,0.84,944.2,0.00002,20.00,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1897,Aworowa,BA,TIGO/VODAFONE/AIRTEL,945.20,0.00000039,27,0.39,944.2,0.000028,28.00,0.39,953.7,0.000024,24.00,0.58,1824,0.000062,62.00,0.01,1830,0.00006,60.00,0.01,1823,0.000054,54.00,0.02,,,,,,,,,,,,,,,,,
Nob 5063,BAMBOI,BA,Vodafone/Airtel,954.70,0.0000004,30,0.31,951.2,0.000027,27.00,0.4,946.7,0.00003,30.00,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1896,Banda Ahenkro,BA,Tigo/Vodafone,9546.70,0.00000052,33,0.22,946.2,0.000025,25.00,0.52,956.2,0.000029,29.00,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GH 2322,Bassa,BA,Airtel,958.70,0.00000014,37,0.15,959.2,0.000041,41.00,0.14,958.7,0.000039,39.00,0.1,,,,,,,,,,,,,,,0,,,,,,,,0,,,,0,,
GH 0070,Berekum,BA,Airtel,953.70,0.00000024,36,0.14,953.1,0.000031,31.00,0.24,957.7,0.000036,36.00,0.18,1854,0.000048,48.00,0.04,1854,0.000052,52.00,0.03,1854,0.000048,48.00,0.05,2164,0.000051,0.000051,51.00,0.04,2163,0.000054,54.00,0.02,2164,0.00000003,0,,,0,,
