,1655BUYA,Buyu,MTN,900,118.94,,0.01,1800,1.79,0.04,,2100,0.00,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS1357,1987NYAKPALA_2,Tolon-Kumbugu,MTN,900,211.94,,0.08,1800,12.24,0.01,,2100,68.32,,0.00,900,288.19,,0.00,1800,11.30,,0.02,2100,32.76,,0.03,900,276.84,,0.00,1800.00,3.32,,0.01,2100,26.72,,0.08,,,,
CS 1362,1995JANGA,WEST MAMPRUSI,MTN,900,7.12,,0.01,1800,16.14,0.03,,2100,0,,0,900,35.2,,0.04,1800,21.72,,0.06,2100,0,,0.05,900,238.63,,0.01,1800,15.23,,0,2100,0,,0,,,,
CS1363,1996DABOYA,West Gonja,MTN,900,221.93,,0.04,1800,341.48,0.07,,2100,0,,0.01,900,672.00,,0.03,1800,341.48,,0.01,2100,0,,0.01,900,672.30,,0.03,1800,1.05,,0.01,2100,0,,0.03,,,,
CS 1366,1999WUNGU,TAMALE,MTN,900,32.68,,0.01,1800,0,0.01,,2100,0,,0,900,232.98,,0.02,1800,0,,0.02,2100,0,,0,900,32.87,,0.05,1800,1.76,,0.01,2100,0,,0,,,,
,2601GURUGU,WEST DAGOMBA,MTN,900,8.77,,0.14,1800,377.64,0.02,,2100,11.07,,0.02,900,8.9,,0.11,1800,36.98,,0.02,2100,4.4,,0.08,900,7.4,,0.12,1800,480.27,,0.02,2100,10.32,,0.11,,,,
,2603MPAHA,Central Gonja,MTN,900,147.19,,0.07,1800,0,0.00,,2100,0,,0.03,900,161.81,,0.01,1800,0,,0.00,2100,0,,0.00,900,11.37,,0.03,1800,0,,0.01,2100,0,,0.03,,,,
CS1379,2604DULUN,Tolon-Kumbugu,MTN,900,85.13,,0.03,1800,8.78,0.02,,2100,0,,0.07,900,29.61,,0.03,1800,21.24,,0.01,2100,0,,0.00,900,67.43,,0.06,1800,5.04,,0.01,2100,0,,0.03,,,,
CS1406,2632KPASEMPE,West Mamprusi,MTN,900,417.45,,0.02,1800,0,0.01,,2100,0,,0.03,900,181.07,,0.04,1800,0,,0.05 ,2100,0,,0.01,900,575.27,,0.06,1800,0.00,,0.01,2100,0,,0.03,,,,
,2641TAMALE_8,WEST DAGOMBA,MTN,900,362.91,,0.77,1800,48.42,0.24,,2100,17.04,,0.14,900,955.16,,1.38,1800,84.01,,0.27,2100,63.52,,0.29,900,208.84,,0.77,1800,75.01,,0.22,2100,36.78,,0.2,,,,
,2921KALIPOHIN,WEST DAGOMBA,MTN,900,93.11,,0,1800,2.14,0.05,,2100,0,,0,900,18.1,,0,1800,2.53,,0.08,2100,0,,0,900,77.63,,0,1800,2.1,,0.07,2100,0,,0,,,,
,2922TAMLE_IDTRY,WEST DAGOMBA,MTN,900,312.9,,0.8,1800,47.62,0.12,,2100,1.19,,0.12,900,285.22,,0.6,1800,415.43,,0.53,2100,17.44,,0.08,900,256.71,,0.75,1800,23.96,,0.18,2100,633.03,,0.01,,,,
,2924DUNGU,WEST DAGOMBA,MTN,900,370.54,,0.99,1800,35,0.22,,2100,32.86,,0,900,305.85,,0.88,1800,58.85,,0.23,2100,71.47,,0,900,376.64,,0.79,1800,68.75,,0.18,2100,97.84,,0.01,,,,
CS1685,2930TALI,Tolon-Kumbugu,MTN,900,1.32,,0.00,1800,0,0.00,,2100,0,,0.00,900,541.39,,0.00,1800,0,,0.00,2100,0,,0.01,900,819.63,,0.03,1800,0,,0.00,2100,0,,0.01,,,,
,2933TAM_NOBISCO,West Dagomba,MTN,900,1.21,,0.08,1800,9.13,0.00,,2100,2.57,,0.04,900,2.56,,0.08,1800,2.38,,0.00,2100,5.44,,0.04,900,4.30,,0.09,1800,5.02,,0.00,2100,1.19,,0.05,,,,
cS1689,2934MORLE_PARK,West Gonja,MTN,900,207.93,,0.00,1800,0,0.00,,2100,278.13,,0.00,900,278.13,,0.00,1800,0,,0.00,2100,0,,0.00,900,361.57,,0.00,1800,0.00,,0.01,2100,0,,0.03,,,,
,2937NYOHINI,WEST DAGOMBA,MTN,900,840.88,,0.04,1800,3.32,0.05,,2100,40.8,,0,900,1.87,,0.05,1800,6.18,,0.08,2100,20.39,,0,900,900.37,,0.03,1800,7.81,,0.05,2100,24.93,,0,,,,
